Gr. Nr.,Ebene,Gruppierung,Domain,AS,CMS
11/01/01,Stamm,"Frankfurt-Fechenheim, Normannen",-,,
11/01/02,Stamm,Frankfurt Nord / Stamm Marcel Callo,dpsg-marcelcallo.de,"Squarespace, Inc.",Unknown
11/01/03,Stamm,"Frankfurt-Rödelheim, Damian de Veuster",dpsg-roedelheim.de,Strato GmbH,"Nicepage 8.1.15, nicepage.com"
11/01/04,Stamm,"Frankfurt, Oberrad",oberraeder-pfadfinder.de,IONOS SE,WordPress
11/01/05,Stamm,"Frankfurt-Heddernheim, Wikinger",dpsg-wikinger.de,Host Europe GmbH,WordPress
11/01/06,Stamm,"Frankfurt-Unterliederbach, Cherusker",dpsg-cherusker.de,IONOS SE,WordPress
11/01/07,Stamm,"Frankfurt-Schwanheim, Don Bosco",schwanheimer-pfadfinder.de,INTERNET AG Global Network,WordPress
11/01/08,Stamm,"Frankfurt-Niederrad, Ch. de Foucauld",dpsg-niederrad.de,manitu GmbH,GravCMS
11/01/09,Stamm,St. Bonifatius,dpsg-stbonifatius.de,manitu GmbH,Joomla
11/02/01,Stamm,"Wiesbaden-Schierstein, Thomas Morus",dpsg-schierstein.de,"Cloudflare, Inc.",Unknown
11/02/03,Stamm,Normannen Eltville,dpsg-eltville.de,netcup GmbH,WordPress
11/02/04,Stamm,"Wiesbaden, Mutter Teresa",dpsg-bierstadt.de,IONOS SE,WordPress
11/02/06,Stamm,"Idstein, St. Martin",dpsg-idstein.de,Strato GmbH,Joomla
11/02/16,Stamm,"Aarbergen, Paloma",stammpaloma-aarbergen.de,"Cloudflare, Inc.",HTTP Status 403
11/03/01,Stamm,Königstein,dpsg-koenigstein.de,Combell NV,WordPress
11/03/02,Stamm,"Eschborn, Regenbogen",dpsg-eschborn.de,Hetzner Online GmbH,Unknown
11/03/04,Stamm,"Hofheim, St. Bonifatius",dpsg-hofheim.de,uvensys GmbH,WordPress
11/03/06,Stamm,"Kelkheim, Johannes Bosco",dpsg-kelkheim.de,One.com A/S,Unknown
11/03/08,Stamm,DPSG St. Franziskus Lorsbach-Langenhain,dpsg-lola.de,Host Europe GmbH,WordPress
11/03/10,Stamm,"Schloßborn, Taunus-Wölfe",-,,
11/04/01,Stamm,Montabaur,dpsg-montabaur.de,Strato GmbH,Unknown
11/04/02,Stamm,Stamm St. Rochus Simmern,dpsg-simmern.de,Host Europe GmbH,HTTP Status 403
11/04/03,Stamm,"Lahnstein-Oberlahnstein, St. Martin",dpsg-lahnstein.de,One.com A/S,WordPress
11/04/06,Stamm,"Wirges, Katharina Kasper",dpsg-wirges.de,Strato GmbH,WordPress
11/04/07,Stamm,"Eitelborn, Weiße Rose",dpsg-eitelborn.de,IONOS SE,Unknown
11/05/01,Stamm,"Weilburg, Rochus Spiecker",dpsg-weilburg.de,WIIT AG,TYPO3
11/05/02,Stamm,Lahntal (Dietkirchen + Dehrn),-,,
11/05/03,Stamm,Eisenbach,-,,
11/05/04,Stamm,"Wetzlar/Dom, Barbarossa",dpsg-wetzlar.de,IONOS SE,WordPress
11/05/05,Stamm,Limburg-Dom,dpsg-limburgdom.de,IONOS SE,WordPress
11/05/06,Stamm,"Dornburg Westerw.-Frickhofen, St. Blasius",pfadfinder-frickhofen.de,Hetzner Online GmbH,Unknown
11/05/08,Stamm,Tilia Hollesse (Limburg-Lindenholzhausen),dpsg-lhh.de,IONOS SE,MyWebsite NOW
12/00/00,Diözese,Diözesanverband Mainz,dpsg-mainz.de,Neue Medien Muennich GmbH,WordPress
12/01/00,Bezirk,Bezirk Oberhessen,dpsg-oberhessen.de,uvensys GmbH,WordPress
12/01/01,Stamm,"Rosbach, St. Johannes",dpsg-rosbach.de,Strato GmbH,WordPress
12/01/02,Stamm,"Friedberg, St. Leonhard",dpsg-fb.de,netcup GmbH,Drupal
12/01/03,Stamm,"Lauterbach/Schlitz, St. Michael",dpsg-lauterbach-schlitz.de,IONOS SE,MyWebsite NOW
12/01/04,Stamm,Sankt Marien Großen-Buseck,-,,
12/01/05,Stamm,"Langgöns, St. Josef",dpsg-langgoens.de,Hetzner Online GmbH,HTTP Status 500
12/01/06,Stamm,"Nidderau-Heldenbergen, Sankt Bonifatius",dpsg-nidderau.de,"Cloudflare, Inc.",HTTP Status 403
12/01/07,Stamm,DPSG St. Andreas Altenstadt e.V.,pfadfinder-altenstadt.de,IONOS SE,WordPress
12/01/08,Stamm,"Gießen, Franz von Assisi",pfadfinder-giessen.de,Wobcom GmbH,WordPress
12/02/00,Bezirk,Bezirk Rhein-Main-Hessen,der-beste-bezirk.de,Neue Medien Muennich GmbH,Unknown
12/02/01,Stamm,"Rüsselsheim, Partner Erde",dpsg-ruesselsheim.de,dogado GmbH,WordPress
12/02/03,Stamm,"Mainz-Gonsenheim, St. Stephan",dpsg-gonsenheim.de,Nawork Internet Informationssysteme GmbH,WordPress
12/02/05,Stamm,Klein-Winternheim,-,,
12/02/07,Stamm,"Ingelheim, Nikolaus von Flüe",dpsg-ingelheim.de,Strato GmbH,WordPress
12/02/08,Stamm,"Schwabenheim, Greifenklau",stamm-greifenklau.de,IONOS SE,Unknown
12/02/09,Stamm,"Budenheim, Don Bosco",pfadfinder-budenheim.de,IONOS SE,WordPress
12/02/10,Stamm,"Mainz-Finthen, Bruder Franz",pfadfinther.de,Neue Medien Muennich GmbH,Unknown
12/02/11,Stamm,"Mainz, Don Greif",dongreif.de,Neue Medien Muennich GmbH,WordPress
12/02/15,Stamm,"Rödermark-Urberach, Gralsritter",pfadfinder-urberach.de,Host Europe GmbH,WordPress
12/02/16,Stamm,"Dietzenbach, St. Martin",pfadfinder-dietzenbach.de,dogado GmbH,WordPress
12/02/20,Stamm,"Wöllstein, St. Franziskus-Rheinhessische Schweiz",-,,
12/02/21,Siedlung,Heidesheim,pfadfinder-heidesheim.de,Strato GmbH,Unknown
12/03/00,Bezirk,Bezirk Heldon,dpsg-heldon.de,Neue Medien Muennich GmbH,WordPress
12/03/01,Stamm,"Seeheim-Jugenheim, Bonifatius",dpsg-seeheim.de,Strato GmbH,Unknown
12/03/03,Stamm,"Seeheim-Jugenheim, Ulrich von Münzenberg",dpsg-jugenheim.de,manitu GmbH,WordPress
12/03/05,Stamm,"Breuberg-Höchst, Hl. Karl Borromäus",dpsg-odenwald.de,Strato GmbH,WordPress
12/03/06,Stamm,"Darmstadt-Arheilgen, Arheilgen",dpsg-arheilgen.de,webgo GmbH,HTTP Status 403
12/03/07,Stamm,Dieburg,dpsg-dieburg.de,EVANZO e-commerce GmbH,Joomla
12/03/08,Stamm,"Gross-Zimmern, St. Bartholomäus",dpsg-gross-zimmern.de,EVANZO e-commerce GmbH,Unknown
12/03/11,Stamm,"Münster, St. Michael",pfadfinder-muenster.de,webgo GmbH,WordPress
12/03/13,Stamm,"Michelstadt / Odenwald, St. Christophorus",dpsgmichelstadt.de,IONOS SE,WordPress
12/03/14,Stamm,"Weiterstadt, St. Johannes",dpsg-weiterstadt.de,Hetzner Online GmbH,WordPress
12/03/15,Stamm,"Heppenheim, St. Peter",dpsg-heppenheim.de,comtrance service GmbH,wint.global - Webseiten Baukasten
12/03/17,Stamm,"Viernheim, Folke Bernadotte",pfadfinder-viernheim.de,Neue Medien Muennich GmbH,WordPress
12/03/18,Stamm,"Lorsch, St. Nazarius",pfadfinder-lorsch.de,IONOS SE,Unknown
12/03/19,Stamm,"Bürstadt, Bruder Feuer",dpsgbuerstadt.de,IONOS SE,WordPress
12/03/20,Stamm,"Lampertheim, Guy de Larigaudie",dpsglampertheim.de,Contabo GmbH,HTTP Status 500
12/03/23,Stamm,"Darmstadt, Liebfrauen",dpsg-darmstadt-liebfrauen.de,regfish GmbH,WordPress
12/03/25,Stamm,Einhausen,pfadfinder-einhausen.de,dogado GmbH,WordPress
13/00/00,Diözese,Diözesanverband München,dpsg1300.de,Mittwald CM Service GmbH und Co. KG,WordPress
13/12/00,Bezirk,Bezirk München-Isar,dpsg1312.de,Strato GmbH,WordPress
13/12/02,Stamm,"München-Giesing, Hl. Engel",heiligengel.de,M-net Telekommunikations GmbH,Drupal
13/12/03,Stamm,"Garching, St. Severin",severin-garching.de,netcup GmbH,WordPress
13/12/04,Stamm,Stamm Mariahilf,pfadfindermariahilf.de,noris network AG,WordPress
13/12/06,Stamm,"München-Schwabing, Pater Rupert Mayer",stamm-prm.de,Hetzner Online GmbH,Unknown
13/12/07,Stamm,Maximilian Kolbe,maxkolbe.de,netcup GmbH,Hugo
13/12/08,Stamm,"München-Solln, St. Ansgar",sanktansgar.de,Hetzner Online GmbH,WordPress
13/12/09,Stamm,"München-Olympiadorf, Frieden Christi",pfadi-fc.de,One.com A/S,Unknown
13/12/10,Stamm,Pfadfinderstamm Swapingo,swapingo.de,Strato GmbH,WordPress
13/12/12,Stamm,"München-Lehel, St. Anna",-,,
13/12/13,Stamm,"München-Grosshadern, St. Canisius",scoutingcanisius.de,Neue Medien Muennich GmbH,WordPress
13/12/14,Siedlung,München Hl. Kreuz - Forstenried,pfadfinder-hlkreuz.de,Hetzner Online GmbH,WordPress
13/13/00,Bezirk,Bezirk München - Ost,dpsg1313.de,Strato GmbH,WordPress
13/13/02,Stamm,Ottobrunn,dpsgottobrunn.de,Wix.com Ltd.,Wix.com Website Builder
13/13/04,Stamm,"Camilo Torres, Hohenbrunn",camilo.de,IONOS SE,WordPress
13/13/05,Stamm,"München-Riem, Galileo Galilei",dpsg-riem.de,Strato GmbH,Unknown
13/13/06,Stamm,"Unterhaching, St. Birgitta",dpsg-u1.org,Strato GmbH,WordPress
13/13/07,Stamm,"Neukeferloh, Columbus",stamm-columbus.de,netcup GmbH,WordPress
13/13/08,Stamm,"München-Waldtrudering, Condor",dpsg-condor.de,Strato GmbH,Unknown
13/13/09,Stamm,"Putzbrunn, Arche Noah",dpsg-putzbrunn.de,One.com A/S,Incomedia WebSite X5
13/13/12,Stamm,"München-Perlach, St. Michael",dpsg-perlach.de,Neue Medien Muennich GmbH,October
13/14/00,Bezirk,Bezirk Würm - Amper,wuerm-amper.de,netcup GmbH,WordPress
13/14/01,Stamm,"Olching, St. Peter und Paul",pfadfinder-olching.de,netcup GmbH,WordPress
13/14/03,Stamm,"München-Pas., St. Hildeg./M.Schutz",-,,
13/14/04,Stamm,"Germering, Parsberg",parsbergstamm.de,"Cloudflare, Inc.",WordPress
13/14/05,Stamm,"Gröbenzell, St. Johann Baptist",dpsg-gzell.de,Hetzner Online GmbH,WordPress
13/14/06,Stamm,"Puchheim, Bison",pfadfinderpuchheim.de,Host Europe GmbH,WordPress
13/14/08,Stamm,"Karlsfeld, Anjo II",dpsg-karlsfeld.de,dogado GmbH,Unknown
13/14/09,Stamm,"München-Neuhadern, Oscar A. Romero",oaromero.de,Host Europe GmbH,Unknown
13/14/13,Stamm,"München-Laim, St. Willibald",williscouts.de,netcup GmbH,WordPress
13/14/14,Stamm,"München-Westend, St. Rupert",rupert-scouts.de,Strato GmbH,WordPress
13/15/00,Bezirk,Bezirk Freising,-,,
13/15/01,Stamm,"Freising, St. Georg",dpsg-freising.de,Strato GmbH,WordPress
13/15/03,Stamm,"Moosburg, St. Kastulus",-,,
13/15/06,Stamm,"Langenbach, Wolfsspur",dpsg-langenbach.de,Strato GmbH,WordPress
13/16/00,Bezirk,Bezirk Ruperti - Mühldorf,dpsg1316.de,Strato GmbH,WordPress
13/16/01,Stamm,"Freilassing, St. Rupert",pfadfinder-freilassing.de,IONOS SE,WordPress
13/16/02,Stamm,"Mühldorf, Tilly",dpsg-muehldorf.de,"Cloudflare, Inc.",HTTP Status 403
13/16/04,Stamm,"Mitterfelden, Christopherus",pfadfinder-mitterfelden.de,Strato GmbH,WordPress
13/16/05,Stamm,"Laufen, Mariä Himmelfahrt",dpsg-laufen.de,Neue Medien Muennich GmbH,WordPress
13/16/06,Stamm,Don Bosco Polling,dpsg-polling.de,Strato GmbH,Contao Open Source CMS
13/16/08,Stamm,Surberg,-,,
13/16/11,Siedlung,Steinadler Talkessel Berchtesgaden,pfadfinder-bgd.de,EVANZO e-commerce GmbH,WordPress
13/17/00,Bezirk,Bezirk Ebersberg,dpsg-ebersberg.de,netcup GmbH,WordPress
13/17/01,Stamm,"Rott am Inn, Marinus",pfadfinder-rott.de,Hetzner Online GmbH,WordPress
13/17/03,Stamm,"Kirchseeon, St. Joseph",dpsg-kirchseeon.de,Strato GmbH,WordPress
13/17/05,Stamm,"Anzing/Poing, Windrose",dpsg-windrose.de,TelemaxX Telekommunikation GmbH,WordPress
13/17/08,Stamm,"Grafing, St. Sebastian",dpsg-grafing.de,netcup GmbH,WordPress
13/17/09,Stamm,"Hohenlinden, Impeesa",dpsg-hohenlinden.de,netcup GmbH,GravCMS
13/19/00,Bezirk,Bezirk Rosenheim,dpsg-rosenheim.de,manitu GmbH,WordPress
13/19/01,Stamm,"Kiefersfelden, Adler",pfadfinderstamm-adler-kiefersfelden.de,"Cloudflare, Inc.",WordPress
13/19/02,Stamm,Prutting,-,,
13/19/03,Stamm,"Rosenheim, St. Michael",scouting-rosenheim.de,Hosting.de GmbH,WordPress
13/19/04,Stamm,Mountain Scouts Aschau,dpsg-aschau.de,Strato GmbH,Incomedia WebSite X5
13/19/06,Stamm,"Degerndorf / Brannenburg, Christkönig",dpsg-degerndorf.de,united-domains GmbH,WordPress
13/19/08,Stamm,"Rosenheim-Oberwöhr, St. Josef d. Arbeiter",pfadfinder-oberwoehr.de,united-domains GmbH,auctores CMS
13/19/10,Stamm,"Bad Aibling, St. Franziskus",dpsg-aibling.de,webhoster.de AG,WordPress
13/19/11,Stamm,"Kolbermoor, St. Franziskus",dpsgkolbermoor.de,netcup GmbH,WordPress
13/19/12,Stamm,"Feldkirchen-Westerh., Phoenix",stamm-phoenix.de,"Cloudflare, Inc.",HTTP Status 522
13/19/13,Stamm,"Grosskarolinenfeld, Christophorus",pfadfinder-grosskarolinenfeld.de,manitu GmbH,WordPress
13/19/15,Stamm,St. Quirinus Fürstätt,pfadfinder-fuerstaett.de,Hetzner Online GmbH,WordPress
13/20/00,Bezirk,Bezirk Oberland,bezirk-oberland.de,netcup GmbH,WordPress
13/20/01,Stamm,"Holzkirchen, St. Laurentius",pfadfinder-holzkirchen.de,comtrance service GmbH,Unknown
13/20/03,Stamm,"Baierbrunn, Ägypten",dpsg-aegypten.de,Google LLC,Unknown
13/20/05,Stamm,St. Sixtus Schliersee,dpsg-schliersee.de,Hosting.de GmbH,WordPress
13/20/06,Stamm,"Iffeldorf/Seeshaupt, St. Vitus",-,,
13/20/08,Stamm,"Benediktbeuern, Dominikus Savio",dpsg-benediktbeuern.de,Hosting.de GmbH,WordPress
13/20/10,Stamm,"Bad Tölz, Eisvogel",dpsg-toelz.de,Hetzner Online GmbH,Unknown
14/00/00,Diözese,Diözesanverband Münster,dpsg-muenster.de,Hetzner Online GmbH,WordPress
14/01/00,Bezirk,Bezirk Niederrhein-Nord,dpsg-bezirk-nn.de,dogado GmbH,Unknown
14/01/01,Stamm,"Xanten, St. Viktor",dpsg-xanten.de,Strato GmbH,WordPress
14/01/03,Stamm,"Emmerich, Janusz Korczak",dpsg-emmerich.de,uvensys GmbH,WordPress
14/01/04,Stamm,DPSG St. Augustinus Gaesdonck,dpsg-gaesdonck.de,Neue Medien Muennich GmbH,WordPress
14/01/06,Stamm,"Kleve-Materborn, St. Georg",dpsg-materborn.de,IONOS SE,HTTP Status 500
14/01/07,Stamm,"Schermbeck, St. Ludgerus",dpsg-schermbeck.de,IONOS SE,WordPress
14/01/08,Stamm,"Alpen, St. Ulrich",pfadfinder-alpen.de,Hetzner Online GmbH,WordPress
14/01/09,Stamm,"Sonsbeck, St.Maria Magdalena",dpsg-sonsbeck.de,IONOS SE,WordPress
14/01/11,Stamm,"Wesel-Feldmark, Herz Jesu",dpsg-feldmark.de,Strato GmbH,WordPress
14/01/12,Stamm,Wesel-Flüren,dpsg-wesel-flueren.de,dogado GmbH,Unknown
14/01/13,Stamm,"Wesel, z. d. Hl. Engeln",dpsg-fusternberg.de,IONOS SE,HTTP Status 403
14/01/15,Stamm,"Kalkar, St. Benedikt",-,,
14/01/16,Stamm,Geldern-Hartefeld,dpsg-hartefeld.de,IONOS SE,WordPress
14/01/17,Stamm,"Weeze, St. Cyriakus",dpsg-weeze.de,Strato GmbH,Unknown
14/01/18,Stamm,"Hamminkeln, St. Maria Himmelfahrt",-,,
14/01/20,Stamm,"Geldern-Veert, St. Martin",dpsg-veert.de,IONOS SE,WordPress
14/01/21,Stamm,"Geldern, St. Maria Magdalena",dpsggeldern.de,dogado GmbH,Unknown
14/01/22,Stamm,"Hamminkeln, Wertherbruch",-,,
14/01/23,Stamm,Uedem,dpsg-uedem.de,Strato GmbH,WordPress
14/01/25,Stamm,Geldern-Kapellen,dpsg-kapellen.de,netcup GmbH,HTTP Status 400
14/01/27,Stamm,"Rheurdt, St. Nikolaus",dpsg-rheurdt.de,"Cloudflare, Inc.",HTTP Status 403
14/01/30,Stamm,"Goch, Edelweiß",pfadfinder-edelweiss.com,IONOS SE,MyWebsite NOW
14/02/00,Bezirk,Bezirk Oldenburg,dpsg-bezirk-oldenburg.de,Hosting.de GmbH,WordPress
14/02/01,Stamm,"Vechta, Füchtel",dpsg-füchtel.de,Hetzner Online GmbH,WordPress
14/02/02,Stamm,"Vechta, St. Georg",dpsg-vechta.de,"Cloudflare London, LLC",WordPress
14/02/04,Stamm,"Steinfeld, v. Schagen",dpsg-steinfeld.de,Neue Medien Muennich GmbH,Unknown
14/02/05,Stamm,"Dinklage, von Galen",pfadfinderdinklage.com,"Automattic, Inc",WordPress
14/02/06,Stamm,"Wilhelmshaven, Christus König",dpsg-wilhelmshaven.de,"Amazon.com, Inc.",Joomla
14/02/07,Stamm,"Lohne, St. Gertrud",dpsg-lohne.de,"Squarespace, Inc.",Unknown
14/02/08,Stamm,"Damme, Benedikt",-,,
14/02/11,Stamm,"Oldenburg, Widukind",dpsg-widukind-ol.de,Hetzner Online GmbH,WordPress
14/02/12,Stamm,"Varel, Stella Maris",dpsg-varel.de,Hosting.de GmbH,WordPress
14/02/13,Stamm,"Goldenstedt-Ellenstedt, St. Heinrich",-,,
14/02/16,Stamm,"Barssel, St. Franziskus",-,,
14/02/17,Stamm,"Bakum, St. Johannes",-,,
14/02/18,Stamm,"Lindern, Philipp Neri",dpsg-lindern.de,Strato GmbH,WordPress
14/03/00,Bezirk,Bezirk Borken,dpsg-borken.de,Neue Medien Muennich GmbH,WordPress
14/03/01,Stamm,Rhede,dpsg-rhede.de,ecotel communication ag,TYPO3
14/03/02,Stamm,"Bocholt, St. Josef",-,,
14/03/04,Stamm,"Bocholt, St. Norbert",norbert-pfadis.de,Hetzner Online GmbH,Unknown
14/03/05,Stamm,"Bocholt, Hl. Kreuz",pfadfinder-heilig-kreuz.de,Strato GmbH,Unknown
14/03/06,Stamm,"Borken, St. Remigius",-,,
14/03/07,Stamm,"Epe, St. Antonius",-,,
14/03/09,Stamm,Velen-Ramsdorf,-,,
14/03/10,Stamm,Isselburg,schwarzzeug.net,IONOS SE,Unknown
14/03/11,Stamm,"Ahaus, St. Marien",dpsg-ahaus.de,Neue Medien Muennich GmbH,WordPress
14/03/13,Stamm,Stadtlohn,-,,
14/03/16,Stamm,Schöppingen,dpsg-schoeppingen.de,uvensys GmbH,Unknown
14/03/24,Stamm,"Gescher, St. Pankratius",dpsg-gescher.de,Deutsche Telekom AG,Unknown
14/04/00,Bezirk,Bezirk Recklinghausen,dpsg-recklinghausen.de,Hetzner Online GmbH,Unknown
14/04/01,Stamm,"Marl-Sinsen, Vasco da Gama",dpsgmarl-sinsen.de,Neue Medien Muennich GmbH,WordPress
14/04/02,Stamm,DPSG Hillerheide,dpsg-hillerheide.de,Neue Medien Muennich GmbH,WordPress
14/04/05,Stamm,"Dorsten, St. Johannes",-,,
14/04/06,Stamm,"Recklinghausen, Liebfrauen-Ost",dpsg-re-liebfrauen-ost.de,IONOS SE,Unknown
14/04/09,Stamm,DPSG St. Agatha Dorsten,-,,
14/04/11,Stamm,"Recklinghausen-Nord, St. Elisabeth",re-nord.de,IONOS SE,WordPress
14/04/12,Stamm,"Marl- Lenkerbeck, St. Marien",-,,
14/04/16,Stamm,"Marl-Sickingmühle, Christ König",dpsg-marl-sickingmuehle.de,IONOS SE,WordPress
14/04/17,Stamm,Recklinghausen-Hochlar,dpsg-hochlar.de,Strato GmbH,WordPress
14/04/18,Stamm,Oer-Erkenschwick,dpsg-o-e.de,IONOS SE,Unknown
14/04/19,Stamm,"Dorsten-Wulfen-Barkenberg, St. Barbara",-,,
14/04/20,Stamm,"Bottrop-Grafenwald, Hl. Familie",pfadfinder-grafenwald.de,Hosting.de GmbH,Unknown
14/04/21,Stamm,"Dorsten, St. Bonifatius",dpsg-st-bonifatius.de,Hetzner Online GmbH,HTTP Status 404
14/04/22,Stamm,Waltrop,pfadfinder-waltrop.de,IONOS SE,Unknown
14/04/23,Siedlung,Haltern am See,dpsg-haltern.de,Neue Medien Muennich GmbH,WordPress
14/05/00,Bezirk,Bezirk Steinfurt,dpsg-steinfurt.de,Host Europe GmbH,WordPress
14/05/02,Stamm,"Saerbeck, St. Georg",dpsg-saerbeck.de,Strato GmbH,WordPress
14/05/03,Stamm,"Emsdetten, St. Pankratius",-,,
14/05/04,Stamm,"Burgsteinfurt, St.Johannes Nepomuk",dpsg-burgsteinfurt.de,Host Europe GmbH,WordPress
14/05/06,Stamm,"Nordwalde, St. Dionysius",dpsg-nordwalde.de,dogado GmbH,WordPress
14/05/07,Stamm,"Wettringen, St. Petronilla",pfadfinder-wettringen.de,Neue Medien Muennich GmbH,WordPress
14/05/09,Stamm,"Mettingen, TüöttenStamm",dpsg-mettingen.de,Strato GmbH,Unknown
14/05/10,Stamm,"Greven, St. Josef",dpsg-greven.de,netcup GmbH,WordPress
14/05/14,Stamm,Stamm Ladbergen,-,,
14/05/16,Stamm,"Tecklenburg, St. Michael",dpsg-tecklenburg.de,Bradler & Krantz GmbH & Co. KG,WordPress
14/05/17,Stamm,Greven-Reckenfeld,-,,
14/06/00,Bezirk,Bezirk Warendorf,-,,
14/06/03,Stamm,"Ostbevern, St. Ambrosius",dpsg-ostbevern.de,Hetzner Online GmbH,WordPress
14/06/04,Stamm,Drensteinfurt,dpsg-drensteinfurt.de,IONOS SE,WordPress
14/06/05,Stamm,Warendorf,dpsg-waf.de,Host Europe GmbH,WordPress
14/06/08,Stamm,Ahlen/Westf.,dpsg-ahlen.de,"Cloudflare, Inc.",HTTP Status 403
14/06/09,Stamm,"Oelde, Der kleine Bach",dpsg-oelde.de,Hetzner Online GmbH,Zeta Producer
14/06/10,Stamm,"Beckum, St. Stephanus",dpsg-beckum.de,WIIT AG,Unknown
14/06/11,Stamm,"Ennigerloh, Enniger",dpsg-enniger.de,Strato GmbH,ConnectTimeoutError
14/06/13,Stamm,"Drensteinfurt-Rinkerode, St. Pankratius",-,,
14/06/14,Stamm,"Hamm-Bockum-Hövel, Impeesa-HeiligGeist",stamm-impeesa.de,IONOS SE,Unknown
14/06/15,Stamm,"Sendenhorst, St. Martinus",pfadfinder-sendenhorst.de,uvensys GmbH,Unknown
14/07/00,Bezirk,Bezirk Münster,bezirk-muenster.de,Mittwald CM Service GmbH und Co. KG,WordPress
14/07/01,Stamm,"Münster-Gievenbeck, St. Michael",dpsg-gievenbeck.de,Hetzner Online GmbH,WordPress
14/07/02,Stamm,"Münster-Handorf, St. Petronilla",dpsg-handorf.de,uvensys GmbH,WordPress
14/07/03,Stamm,DPSG St. Liutger,kreuz-pfadfinder.de,Host Europe GmbH,WordPress
14/07/04,Stamm,"Münster-Wolbeck, Don Bosco",donboscowolbeck.de,"Automattic, Inc",WordPress
14/07/06,Stamm,"Münster, Gremmendorf",dpsg-stamm-gremmendorf.de,IONOS SE,MyWebsite NOW
14/07/07,Stamm,"Münster-Hiltrup, Rochus Spiecker",dpsg-hiltrup.de,IONOS SE,WordPress
14/07/09,Stamm,"St. Anna Mecklenbeck Albachten Roxel Aaseestadt, Münster",dpsg-st-anna.de,IONOS SE,WordPress
14/07/12,Stamm,"Münster, St. Franziskus",dpsg-sfm.de,dogado GmbH,WordPress
14/07/17,Stamm,Herz-Jesu Münster,dpsg-herz-jesu-muenster.de,Neue Medien Muennich GmbH,WordPress
14/08/00,Bezirk,Bezirk Niederrhein-Süd,bezirk-nrs.de,Neue Medien Muennich GmbH,WordPress
14/08/01,Stamm,"Moers-Wesel, St. Josef",dpsg-moers.de,"Cloudflare, Inc.",Unknown
14/08/04,Stamm,"Duisburg-Homberg, Hochheide",-,,
14/08/06,Stamm,"Duisburg-Rheinhausen, Christus König",dpsg-ck.de,Neue Medien Muennich GmbH,WordPress
14/08/07,Stamm,"Dinslaken, St. Vincentius",dpsg-din.de,"Cloudflare, Inc.",WordPress
14/08/11,Stamm,"Duisburg, St. Ludger",-,,
14/08/12,Stamm,"Friedrichsfeld, St. Elisabeth",-,,
14/08/13,Stamm,"Rheinberg, St. Anna, Phönix",phoeniximweb.de,Neue Medien Muennich GmbH,WordPress
14/08/14,Stamm,"Kamp-Lintfort, St. Marien",-,,
14/08/15,Stamm,"Voerde-Spellen, Sankt Peter Spellen",-,,
14/09/00,Bezirk,Bezirk Coesfeld,dpsg-bezirk-coesfeld.de,Michael Rottmann trading as Pixel X e.K.,WordPress
14/09/01,Stamm,"Dülmen, Heilig Kreuz",dpsg-duelmen.de,Neue Medien Muennich GmbH,Unknown
14/09/02,Stamm,Nordkirchen,dpsg-nordkirchen.de,InterNetworX Management GmbH,HTTP Status 400
14/09/03,Stamm,Lüdinghausen,dpsg-lh.de,netcup GmbH,WordPress
14/09/04,Stamm,"Lette, St. Johannes",dpsg-pfadfinder-lette.de,IONOS SE,Unknown
14/09/05,Stamm,"Nottuln, St. Martin",dpsg-nottuln.de,Strato GmbH,WordPress
14/09/08,Stamm,"Selm, St. Josef",pfadfinder-selm.de,firstcolo GmbH,WordPress
14/09/10,Stamm,Senden,dpsg-senden.de,Strato GmbH,Unknown
14/09/11,Stamm,"Olfen, St. Vitus",dpsg-olfen.org,Strato GmbH,WordPress
14/09/13,Stamm,Coesfeld,dpsg-coesfeld.de,Hetzner Online GmbH,WordPress
15/00/00,Diözese,Diözesanverband Osnabrück,dpsg-os.de,Contabo GmbH,WordPress
15/00/01,Stamm,Pfadwind,pfadwind.de,"Cloudflare, Inc.",WordPress
15/00/02,Siedlung,"Borkum, Nordlichter",-,,
15/01/02,Stamm,"Haren, Nordlicht Altharen",dpsg-altharen.de,Neue Medien Muennich GmbH,HTTP Status 400
15/01/04,Stamm,Papenburg,-,,
15/01/13,Stamm,"Haselünne-Lehrte, St. Vincentius",dpsg-haseluenne.de,dogado GmbH,Unknown
15/01/15,Stamm,"Haren, Franziskus",pfadfinder-haren.de,dogado GmbH,Unknown
15/01/23,Stamm,"Nordhorn, St. Marien",dpsg-nordhorn.de,IONOS SE,Joomla
15/04/01,Stamm,"Melle-Gesmold, Horizonte",-,,
15/04/02,Stamm,"Osnabrück, Rosenkranz",-,,
15/04/04,Stamm,Holzhausen-Ohrbeck,dpsg-holzhausen.de,dogado GmbH,WordPress
15/04/07,Stamm,"Oesede, Hl. Geist",dpsg-oesede.de,dogado GmbH,Unknown
15/04/09,Stamm,"Wallenhorst, St. Alexander",wapfi.online,Wix.com Ltd.,Wix.com Website Builder
15/04/10,Stamm,"Neuenkirchen, St. Laurentius",-,,
15/04/22,Stamm,Stamm Maximilian Kolbe Rulle,pfadfinderrulle.de,"Weebly, Inc.",Unknown
16/00/00,Diözese,Diözesanverband Paderborn,dpsg-paderborn.de,SOPRADO GmbH,WordPress
16/01/00,Bezirk,Bezirk Dortmund,dpsg-dortmund.de,Hetzner Online GmbH,WordPress
